Grow Factor;Percentage Apparitions;Expected Iterations
2.000000;6;10





Iteration;Rows;Columns;Clocks;Ticks;Matrix A;Matrix B
3;3;22;0;---i---i---;---i---i---
6;6;85;1;------i------i---+--i-----+i------i------;--+---i----+-i------i------i-----+i------
12;12;181;1;----+-------i---------+--i------------i------------i------------i------------i------------i-------+----i------------i+-----------i-------+----i----------+-;------------i------------i-----------+i-----------+i----+-------i-+-----++---i------------i---------+--i------------i------------i------------i------------
24;24;2124;7;----------------------+-i-------------+-+--------i---+--------------------i-+----------------------i++------+------+-+------i----+-------------------i------------------------i------------------------i---------+-----------+--i------------+----++-----i--+---------+----------+i-----------+-++---------i------------------------i------------------+-----i------------------+-+---i------------------------i------------------+-----i------------------------i--------+---------------i----+-------------------i------------------------i------------------+-----i------------------------i------++---+------------;-------------+----------i------------------------i------+-----------------i---+-------------------+i-----------------+------i-------+-----+----------i-------------------+----i+-------+----------+----i------------------------i----+---------++--------i------------------------i------+-----------------i+-+--------------------+i-------------------+----i--------------+---------i---+--------------------i-----++-----------------i------------------------i--+---------------------i-----+------------+-----i-+-----+---+------------i--------------------++--i+--+-----+-------+----+-i------------------------
48;48;7130;5;-------------+---------------+------------------i----------+-----------------+-----+---------+---i+-------+------+--------------------------------i---+--------------------------------------------i------------+--+-----++-----+---------------+--+i------------+-----------------------------------i----+-----------------------+---+------++----+--i-+-------+----++--------------------------------i-------------------------+--------------+-------i--+---------------------+----------+---------+--i----+----++-------------------------------------i-------------------------------------+----------i-----++--------+-----------+--------------------i----+----+---------+-------+-------------+-+----i----+----------------------------+-------+--++--i---------------+------------------------------+-i-++-------+---------+---++-----+--+---+---------i----------+---------+------------------+------++i----------++----------+----------------------+--i-------------------+-------------+------------+-i-----+---------------------------+-----+--------i--------+-----+--------------------+------------i-----------------+-------+---------+-----+------i--+---------------------------------------------i---------+------+-----+----------+-------------+i-------+-------------+-------------+--+----+----i---+-------------------------+------------------i---------+-++-----------------------------------i----------------------------------------+-------i-------------------+----------------------+-----i--------------------------+----------+---------+i-------------------------------------------+----i---+------------------------+---+---------------i-------------------------+----+----------+------i-+-------+----+----------+-----+----------------i-----------+-------------+-+--------------------i----------------+-----+--------------------+----i----+------+-------------+----------+---------+-i-------------+---------------------+-+------+---i------------------------------------------------i---+-----------+--------------------------------i------------------------+--------------+--------i---+-------------+--------+--------+---------+--i----------------------+--------------------+----i--------------+--------+-+----------------------i----+-----------+--------+----------------------i------------+---+---+-------------------+----+--i-+---------++----+------+----------------------+;-------+-+--------+++---------------------------i----------------------------++----------+-------i---+----------+----------+------+---------------i--------------------+------------+--------------i-+------+-----------+---------------------------i---+---------------+----------------+----------+i---------------------------------+-----------+--i------------+-------++-----+--------------------i------+------++------------+--------------------i--+----+--------------+-++-------------+--------i-------------+----------------------------------i+-----+---------------------+------------------+i----+------+--------+---------------------------i-----+---+--------------------------------------i------------------------------------------------i+------+--------------------+----------+-----++-i------------------------------------------+-----i--------+-------+------------+-+-------------+--i----------+----------------------------------+--i+-----------+----+------------------------------i-------------+--+---------------+---------------i---+----+----------+-+----------+---------------i------------------+-----------------------------i+----------------------++-----------------+-----i--------------------------------+-------------+-i-----+---------------+--------------------------i---------------------+----+----+---+------------i---+----------------+-------------------------+-i----------+-------------+----------------------+i------------------+----+----------+-------------i--------------------+--------------+--------+---i+---------------+----------------------+--------i------------+----+-----------------------------+i------+--------+---------------------------+---+i---++---------------------+-----------++--------i-----+-------------+-------+-----+--------------i-----+----+----------------+----------------+---i-------------+-------+--------------------------i--+-------+-----------------+---+----+----------i-----+------------+--------+----+---------------i----------------------------+--+----------------i------------+------------+-----------+----------i------------------+------+-------+------------+-i-+-----------------+-+--------------------------i------+--------------+-----------+--------------i--------+-----+---------------------------------i-------------+--+---++-------------------++-----i--+-------------------------+-+--+--------------
