Grow Factor;Percentage Apparitions;Expected Iterations
1.100000;12;100





Iteration;Rows;Columns;Clocks;Ticks;Matrix A;Matrix B
10;12;694;10;+----+------i-------+----i------+-++--i----+-------i---+-+-+----i+------+----i------+-----i----+-------i-++---------i---------+--;----+-------i----------+-i+-------+---i-----------+i------------i-+----------i----+-------i+----------+i---+--------i---+-----+--
11;13;481;4;-+--------+--i----------+-+i++-----+----+i-------------i---------+--+i-------------i-+----+------i+---+----+--+i--+-------+--i--------+----i--+++--------;-+----+------i--------+---+i-------------i-------------i-+--+--+-+++-i-+---++------i-------------i-----------++i-------+-----i-------------i------------+
