Iteration;Rows;Columns;Clocks;Ticks
2;2;77;1
4;4;97;1
8;8;169;1
16;16;432;1
32;32;1498;3
64;64;7266;4
128;128;16737;5
256;256;156340;7
512;512;721324;7
