Grow Factor;Percentage Apparitions;Expected Iterations
2.000000;5;10





Iteration;Rows;Columns;Clocks;Ticks;Matrix A;Matrix B
3;3;129;1;---i---i---;---i+--i---
6;6;177;1;------i------i------i------i------i------;------i+-----i------i------i------i--+---
12;12;438;1;------------i------------i------------i-+----------i------------i------------i------------i----+-------i------------i------------i------------i--+---+-----;---------+--i------------i---------+--i---+------+-i-----+------i---+--------i------------i------------i------------i------------i--+---------i--+-------+-
24;24;1500;3;---------+---------+----i+------+----------------i------------------------i------------------------i------------------------i--------------+---------i--------+---+-+---------i------------------------i------------------------i---------------+--------i------------------------i------------------------i-------+----------------i----------------+-------i----+-------------------i--+--------+------------i------------------------i+--------+----+---+-+---i--------------+---------i---------+---------+----i-------------+----------i-----------+------------i--+---------------------i------------------------;--------------------+---i--------+---------------i----------+-------------i-----+-------+-----+----i------------------------i------------------------i---------------+--------i------+-----------------i--+---------------------i---+--------------------i------------------------i+----------------+------i----+--+--------------+-i------------------------i---------+-------------+i-+--------------+-+-----i-------+--+----------+--i----------------------+-i----+-+------+----------i-++---+-----------------i------------------------i------------------------i------------------------i-----------++-----------
