Iteration;Rows;Columns;Clocks;Ticks
3;3;94;1
4;4;92;1
6;6;154;1
9;9;200;1
13;13;324;1
19;19;676;3
28;28;1517;3
42;42;3408;4
63;63;7564;6
94;94;77143;69
